year_of_diagnosis,age_group,adjusted_ajcc_6th_stage,tumor_site,Age
1975,55-64 yrs,I,Upper-inner quadrant,0
1975,55-64 yrs,I,Upper-outer quadrant,0
1975,55-64 yrs,II,Axillary tail,0
1975,55-64 yrs,II,"Breast, NOS",0
1975,55-64 yrs,II,Central portion,0
1975,55-64 yrs,II,Lower-inner quadrant,0
1975,55-64 yrs,II,Lower-outer quadrant,0
1975,55-64 yrs,II,Nipple,0
1975,55-64 yrs,II,Overlapping lesion,0
1975,55-64 yrs,II,Upper-inner quadrant,0
1975,55-64 yrs,II,Upper-outer quadrant,0
1975,55-64 yrs,III,Axillary tail,0
1975,55-64 yrs,III,"Breast, NOS",0
1975,55-64 yrs,III,Central portion,0
1975,55-64 yrs,III,Lower-inner quadrant,0
1975,55-64 yrs,III,Lower-outer quadrant,0
1975,55-64 yrs,III,Nipple,0
1975,55-64 yrs,III,Overlapping lesion,0
1975,55-64 yrs,III,Upper-inner quadrant,0
1975,55-64 yrs,III,Upper-outer quadrant,0
1975,55-64 yrs,IV,Axillary tail,0
1975,55-64 yrs,IV,"Breast, NOS",0
1975,55-64 yrs,IV,Central portion,0
1975,55-64 yrs,IV,Lower-inner quadrant,0
1975,55-64 yrs,IV,Lower-outer quadrant,0
1975,55-64 yrs,IV,Nipple,0
1975,55-64 yrs,IV,Overlapping lesion,0
1975,55-64 yrs,IV,Upper-inner quadrant,0
1975,55-64 yrs,IV,Upper-outer quadrant,0
1975,55-64 yrs,Unknown,Axillary tail,14
1975,55-64 yrs,Unknown,"Breast, NOS",696
1975,55-64 yrs,Unknown,Central portion,127
1975,55-64 yrs,Unknown,Lower-inner quadrant,57
1975,55-64 yrs,Unknown,Lower-outer quadrant,115
1975,55-64 yrs,Unknown,Nipple,13
1975,55-64 yrs,Unknown,Overlapping lesion,264
1975,55-64 yrs,Unknown,Upper-inner quadrant,144
1975,55-64 yrs,Unknown,Upper-outer quadrant,498
1975,65-74 yrs,0,Axillary tail,0
1975,65-74 yrs,0,"Breast, NOS",0
1975,65-74 yrs,0,Central portion,0
1975,65-74 yrs,0,Lower-inner quadrant,0
1975,65-74 yrs,0,Lower-outer quadrant,0
1975,65-74 yrs,0,Nipple,0
1975,65-74 yrs,0,Overlapping lesion,0
1975,65-74 yrs,0,Upper-inner quadrant,0
1975,65-74 yrs,0,Upper-outer quadrant,0
1975,65-74 yrs,I,Axillary tail,0
1975,65-74 yrs,I,"Breast, NOS",0
1975,65-74 yrs,I,Central portion,0
1975,65-74 yrs,I,Lower-inner quadrant,0
1975,65-74 yrs,I,Lower-outer quadrant,0
1975,65-74 yrs,I,Nipple,0
1975,65-74 yrs,I,Overlapping lesion,0
1975,65-74 yrs,I,Upper-inner quadrant,0
1975,65-74 yrs,I,Upper-outer quadrant,0
1975,65-74 yrs,II,Axillary tail,0
1975,65-74 yrs,II,"Breast, NOS",0
1975,65-74 yrs,II,Central portion,0
1975,65-74 yrs,II,Lower-inner quadrant,0
1975,65-74 yrs,II,Lower-outer quadrant,0
1975,65-74 yrs,II,Nipple,0
1975,65-74 yrs,II,Overlapping lesion,0
1975,65-74 yrs,II,Upper-inner quadrant,0
1975,65-74 yrs,II,Upper-outer quadrant,0
1975,65-74 yrs,III,Axillary tail,0
1975,65-74 yrs,III,"Breast, NOS",0
1975,65-74 yrs,III,Central portion,0
1975,65-74 yrs,III,Lower-inner quadrant,0
1975,65-74 yrs,III,Lower-outer quadrant,0
1975,65-74 yrs,III,Nipple,0
1975,65-74 yrs,III,Overlapping lesion,0
1975,65-74 yrs,III,Upper-inner quadrant,0
1975,65-74 yrs,III,Upper-outer quadrant,0
1975,65-74 yrs,IV,Axillary tail,0
1975,65-74 yrs,IV,"Breast, NOS",0
1975,65-74 yrs,IV,Central portion,0
1975,65-74 yrs,IV,Lower-inner quadrant,0
1975,65-74 yrs,IV,Lower-outer quadrant,0
1975,65-74 yrs,IV,Nipple,0
1975,65-74 yrs,IV,Overlapping lesion,0
1975,65-74 yrs,IV,Upper-inner quadrant,0
1975,65-74 yrs,IV,Upper-outer quadrant,0
1975,65-74 yrs,Unknown,Axillary tail,9
1975,65-74 yrs,Unknown,"Breast, NOS",587
1975,65-74 yrs,Unknown,Central portion,106
1975,65-74 yrs,Unknown,Lower-inner quadrant,41
1975,65-74 yrs,Unknown,Lower-outer quadrant,107
1975,65-74 yrs,Unknown,Nipple,17
1975,65-74 yrs,Unknown,Overlapping lesion,225
1975,65-74 yrs,Unknown,Upper-inner quadrant,106
1975,65-74 yrs,Unknown,Upper-outer quadrant,412
1975,75-84 yrs,0,Axillary tail,0
1975,75-84 yrs,0,"Breast, NOS",0
1975,75-84 yrs,0,Central portion,0
1975,75-84 yrs,0,Lower-inner quadrant,0
1975,75-84 yrs,0,Lower-outer quadrant,0
1975,75-84 yrs,0,Nipple,0
1975,75-84 yrs,0,Overlapping lesion,0
1975,75-84 yrs,0,Upper-inner quadrant,0
1975,75-84 yrs,0,Upper-outer quadrant,0
1975,75-84 yrs,I,Axillary tail,0
1975,75-84 yrs,I,"Breast, NOS",0
1975,75-84 yrs,I,Central portion,0
1975,75-84 yrs,I,Lower-inner quadrant,0
1975,75-84 yrs,I,Lower-outer quadrant,0
1975,75-84 yrs,I,Nipple,0
1975,75-84 yrs,I,Overlapping lesion,0
1975,75-84 yrs,I,Upper-inner quadrant,0
1975,75-84 yrs,I,Upper-outer quadrant,0
1975,75-84 yrs,II,Axillary tail,0
1975,75-84 yrs,II,"Breast, NOS",0
1975,75-84 yrs,II,Central portion,0
1975,75-84 yrs,II,Lower-inner quadrant,0
1975,75-84 yrs,II,Lower-outer quadrant,0
1975,75-84 yrs,II,Nipple,0
1975,75-84 yrs,II,Overlapping lesion,0
1975,75-84 yrs,II,Upper-inner quadrant,0
1975,75-84 yrs,II,Upper-outer quadrant,0
1975,75-84 yrs,III,Axillary tail,0
1975,75-84 yrs,III,"Breast, NOS",0
1975,75-84 yrs,III,Central portion,0
1975,75-84 yrs,III,Lower-inner quadrant,0
1975,75-84 yrs,III,Lower-outer quadrant,0
1975,75-84 yrs,III,Nipple,0
1975,75-84 yrs,III,Overlapping lesion,0
1975,75-84 yrs,III,Upper-inner quadrant,0
1975,75-84 yrs,III,Upper-outer quadrant,0
1975,75-84 yrs,IV,Axillary tail,0
1975,75-84 yrs,IV,"Breast, NOS",0
1975,75-84 yrs,IV,Central portion,0
1975,75-84 yrs,IV,Lower-inner quadrant,0
1975,75-84 yrs,IV,Lower-outer quadrant,0
1975,75-84 yrs,IV,Nipple,0
1975,75-84 yrs,IV,Overlapping lesion,0
1975,75-84 yrs,IV,Upper-inner quadrant,0
1975,75-84 yrs,IV,Upper-outer quadrant,0
1975,75-84 yrs,Unknown,Axillary tail,14
1975,75-84 yrs,Unknown,"Breast, NOS",570
1975,75-84 yrs,Unknown,Central portion,99
1975,75-84 yrs,Unknown,Lower-inner quadrant,25
1975,75-84 yrs,Unknown,Lower-outer quadrant,77
1975,75-84 yrs,Unknown,Nipple,10
1975,75-84 yrs,Unknown,Overlapping lesion,163
1975,75-84 yrs,Unknown,Upper-inner quadrant,75
1975,75-84 yrs,Unknown,Upper-outer quadrant,311
1976,5-14 yrs,0,Axillary tail,0
1976,5-14 yrs,0,"Breast, NOS",0
1976,5-14 yrs,0,Central portion,0
1976,5-14 yrs,0,Lower-inner quadrant,0
1976,5-14 yrs,0,Lower-outer quadrant,0
1976,5-14 yrs,0,Nipple,0
1976,5-14 yrs,0,Overlapping lesion,0
1976,5-14 yrs,0,Upper-inner quadrant,0
1976,5-14 yrs,0,Upper-outer quadrant,0
1976,5-14 yrs,I,Axillary tail,0
1976,5-14 yrs,I,"Breast, NOS",0
1976,5-14 yrs,I,Central portion,0
1976,5-14 yrs,I,Lower-inner quadrant,0
1976,5-14 yrs,I,Lower-outer quadrant,0
1976,5-14 yrs,I,Nipple,0
1976,5-14 yrs,I,Overlapping lesion,0
1976,5-14 yrs,I,Upper-inner quadrant,0
1976,5-14 yrs,I,Upper-outer quadrant,0
1976,5-14 yrs,II,Axillary tail,0
1976,5-14 yrs,II,"Breast, NOS",0
1976,5-14 yrs,II,Central portion,0
1976,5-14 yrs,II,Lower-inner quadrant,0
1976,5-14 yrs,II,Lower-outer quadrant,0
1976,5-14 yrs,II,Nipple,0
1976,5-14 yrs,II,Overlapping lesion,0
1976,5-14 yrs,II,Upper-inner quadrant,0
1976,5-14 yrs,II,Upper-outer quadrant,0
1976,5-14 yrs,III,Axillary tail,0
1976,5-14 yrs,III,"Breast, NOS",0
1976,5-14 yrs,III,Central portion,0
1976,5-14 yrs,III,Lower-inner quadrant,0
1976,5-14 yrs,III,Lower-outer quadrant,0
1976,5-14 yrs,III,Nipple,0
1976,5-14 yrs,III,Overlapping lesion,0
1976,5-14 yrs,III,Upper-inner quadrant,0
1976,5-14 yrs,III,Upper-outer quadrant,0
1976,5-14 yrs,IV,Axillary tail,0
1976,5-14 yrs,IV,"Breast, NOS",0
1976,5-14 yrs,IV,Central portion,0
1976,5-14 yrs,IV,Lower-inner quadrant,0
1976,5-14 yrs,IV,Lower-outer quadrant,0
1976,5-14 yrs,IV,Nipple,0
1976,5-14 yrs,IV,Overlapping lesion,0
1976,5-14 yrs,IV,Upper-inner quadrant,0
1976,5-14 yrs,IV,Upper-outer quadrant,0
1976,5-14 yrs,Unknown,Axillary tail,0
1976,5-14 yrs,Unknown,"Breast, NOS",0
1976,5-14 yrs,Unknown,Central portion,0
1976,5-14 yrs,Unknown,Lower-inner quadrant,0
1976,5-14 yrs,Unknown,Lower-outer quadrant,0
1976,5-14 yrs,Unknown,Nipple,0
1976,5-14 yrs,Unknown,Overlapping lesion,0
1976,5-14 yrs,Unknown,Upper-inner quadrant,0
1976,5-14 yrs,Unknown,Upper-outer quadrant,0
1976,15-24 yrs,0,Axillary tail,0
1976,15-24 yrs,0,"Breast, NOS",0
1976,15-24 yrs,0,Central portion,0
1976,15-24 yrs,0,Lower-inner quadrant,0
1976,15-24 yrs,0,Lower-outer quadrant,0
1976,15-24 yrs,0,Nipple,0
1976,15-24 yrs,0,Overlapping lesion,0
1976,15-24 yrs,0,Upper-inner quadrant,0
1976,15-24 yrs,0,Upper-outer quadrant,0
1976,15-24 yrs,I,Axillary tail,0
1976,15-24 yrs,I,"Breast, NOS",0
1976,15-24 yrs,I,Central portion,0
1976,15-24 yrs,I,Lower-inner quadrant,0
1976,15-24 yrs,I,Lower-outer quadrant,0
1976,15-24 yrs,I,Nipple,0
1976,15-24 yrs,I,Overlapping lesion,0
1976,15-24 yrs,I,Upper-inner quadrant,0
1976,15-24 yrs,I,Upper-outer quadrant,0
1976,15-24 yrs,II,Axillary tail,0
1976,15-24 yrs,II,"Breast, NOS",0
1976,15-24 yrs,II,Central portion,0
1976,15-24 yrs,II,Lower-inner quadrant,0
1976,15-24 yrs,II,Lower-outer quadrant,0
1976,15-24 yrs,II,Nipple,0
1976,15-24 yrs,II,Overlapping lesion,0
1976,15-24 yrs,II,Upper-inner quadrant,0
1976,15-24 yrs,II,Upper-outer quadrant,0
1976,15-24 yrs,III,Axillary tail,0
1976,15-24 yrs,III,"Breast, NOS",0
1976,15-24 yrs,III,Central portion,0
1976,15-24 yrs,III,Lower-inner quadrant,0
1976,15-24 yrs,III,Lower-outer quadrant,0
1976,15-24 yrs,III,Nipple,0
1976,15-24 yrs,III,Overlapping lesion,0
1976,15-24 yrs,III,Upper-inner quadrant,0
1976,15-24 yrs,III,Upper-outer quadrant,0
1976,15-24 yrs,IV,Axillary tail,0
1976,15-24 yrs,IV,"Breast, NOS",0
1976,15-24 yrs,IV,Central portion,0
1976,15-24 yrs,IV,Lower-inner quadrant,0
1976,15-24 yrs,IV,Lower-outer quadrant,0
1976,15-24 yrs,IV,Nipple,0
1976,15-24 yrs,IV,Overlapping lesion,0
1976,15-24 yrs,IV,Upper-inner quadrant,0
1976,15-24 yrs,IV,Upper-outer quadrant,0
1976,15-24 yrs,Unknown,Axillary tail,0
1976,15-24 yrs,Unknown,"Breast, NOS",1
1976,15-24 yrs,Unknown,Central portion,1
1976,15-24 yrs,Unknown,Lower-inner quadrant,1
1976,15-24 yrs,Unknown,Lower-outer quadrant,1
1976,15-24 yrs,Unknown,Nipple,0
1976,15-24 yrs,Unknown,Overlapping lesion,2
1976,15-24 yrs,Unknown,Upper-inner quadrant,0
1976,15-24 yrs,Unknown,Upper-outer quadrant,6
1976,25-34 yrs,0,Axillary tail,0
1976,25-34 yrs,0,"Breast, NOS",0
1976,25-34 yrs,0,Central portion,0
1976,25-34 yrs,0,Lower-inner quadrant,0
1976,25-34 yrs,0,Lower-outer quadrant,0
1976,25-34 yrs,0,Nipple,0
1976,25-34 yrs,0,Overlapping lesion,0
1976,25-34 yrs,0,Upper-inner quadrant,0
1976,25-34 yrs,0,Upper-outer quadrant,0
1976,25-34 yrs,I,Axillary tail,0
1976,25-34 yrs,I,"Breast, NOS",0
1976,25-34 yrs,I,Central portion,0
1976,25-34 yrs,I,Lower-inner quadrant,0
1976,25-34 yrs,I,Lower-outer quadrant,0
1976,25-34 yrs,I,Nipple,0
1976,25-34 yrs,I,Overlapping lesion,0
1976,25-34 yrs,I,Upper-inner quadrant,0
1976,25-34 yrs,I,Upper-outer quadrant,0
1976,25-34 yrs,II,Axillary tail,0
1976,25-34 yrs,II,"Breast, NOS",0
1976,25-34 yrs,II,Central portion,0
1976,25-34 yrs,II,Lower-inner quadrant,0
1976,25-34 yrs,II,Lower-outer quadrant,0
1976,25-34 yrs,II,Nipple,0
1976,25-34 yrs,II,Overlapping lesion,0
1976,25-34 yrs,II,Upper-inner quadrant,0
1976,25-34 yrs,II,Upper-outer quadrant,0
1976,25-34 yrs,III,Axillary tail,0
1976,25-34 yrs,III,"Breast, NOS",0
1976,25-34 yrs,III,Central portion,0
